DT,TYPE,S_UAH,S_FXU,S_FXD
2018-01-01,DFOOS,227044403008.5398,229318802573.56995,8170341703.33026
2018-01-01,DSG,255668034345.33014,157317976558.78,5605042456.775288
2018-01-01,DSNBp,64899000000,0,0.0
2018-01-01,LFONET,77854048779.69011,12207392263.770006,434934096.03686136
2018-01-01,LSGNET,212329499038.4198,186327461136.2502,6638614056.554503
2018-01-01,OVDPp,243983154000.0,116232237803.55,4141209046.7072563
2018-02-01,DFOOS,220537471591.8899,229956463454.91006,8210153142.808267
2018-02-01,DSG,243344946415.44983,150437129129.80997,5371068288.1603155
2018-02-01,LFONET,49941989593.53001,11539803694.299986,412006490.90137464
2018-02-01,LSGNET,198540162912.64987,182533387749.04974,6517003456.130968
2018-03-01,DFOOS,227885753268.28012,221800646382.36993,8230633951.131407
2018-03-01,DSG,243164382132.8003,145234365910.7201,5389393234.116506
2018-03-01,LFONET,50566865192.740005,10500003746.569998,389636769.4733432
2018-03-01,LSGNET,200989437999.3001,175052292743.07993,6495884332.955259
2018-04-01,DFOOS,234680994638.3403,219979202725.13007,8287500169.067048
2018-04-01,DSG,243873587920.79007,142169736332.33026,5356105028.540514
2018-04-01,DSNBp,57781000000,0,0.0
2018-04-01,LFONET,82345652262.48994,9871442295.670008,371896882.4363089
2018-04-01,LSGNET,210238877495.33008,174506437577.85013,6574358453.043467
2018-04-01,OVDPp,244631024300.0,107345130208.87001,4044122233.98292
2018-05-01,DFOOS,241649986863.4002,218571789050.1901,8332878284.594382
2018-05-01,DSG,251045265601.47012,144190942433.88007,5497166758.179287
2018-05-01,LFONET,52814523054.92998,9647336962.839993,367797166.4648562
2018-05-01,LSGNET,204719895801.2699,176883952904.66006,6743562179.078821
2018-06-01,DFOOS,238986601270.79025,215495678745.49008,8245224503.427237
2018-06-01,DSG,259617580037.7301,144072082373.36023,5512438443.12806
2018-06-01,LFONET,54807284255.28006,9372199537.770012,358596004.01127774
2018-06-01,LSGNET,205945373547.73022,177607424054.4999,6795556613.152745
2018-07-01,DFOOS,255792191191.03015,217383704431.94965,8300519047.833514
2018-07-01,DSG,246521495331.49966,145908204513.69998,5571318392.820391
2018-07-01,DSNBp,59176000000,0,0.0
2018-07-01,LFONET,88629635392.99008,8980269249.949991,342900109.0889862
2018-07-01,LSGNET,209089317745.4398,170302045285.02994,6502766039.742001
2018-07-01,OVDPp,246636825900.0,112599502829.92996,4299468170.6189995
2018-08-01,DFOOS,248149331460.4897,224222593981.46976,8380519549.6276045
2018-08-01,DSG,261521293691.76013,145500094077.03003,5438195862.572064
2018-08-01,DSNBp,63804000000,0,0.0
2018-08-01,LFONET,91911765721.55992,8954510859.459988,334682834.51068646
2018-08-01,LSGNET,213835657289.58,175898988579.85007,6574381673.039511
2018-08-01,OVDPp,244190835300.0,113780781247.05,4252658238.766096
2018-09-01,DFOOS,245142020145.66006,239559960286.53006,8471171483.595307
2018-09-01,DSG,243498022957.46014,157575083968.44968,5572072879.967525
2018-09-01,DSNBp,19233000000,0,0.0
