DT,TYPE,NKB,S_UAH,S_FXU,S_FXD
2018-01-01,DFOOS,2,7712180922.01,17339604951.51,617788405.7681801
2018-01-01,DFOOS,5,5017743016.67,5889644059.01,209840640.77197808
2018-01-01,DFOOS,6,48505497149.38,38062574660.9,1356121860.0393777
2018-01-01,DFOOS,29,32752080.88,70878065.28999999,2525296.688240229
2018-01-01,DFOOS,36,13291584551.58,8386172252.87,298788813.30261993
2018-01-01,DFOOS,43,117074768.09999998,84387441.08,3006618.8265223107
2018-01-01,DFOOS,46,87681554341.89001,80376656887.86,2863719609.4483595
2018-01-01,DFOOS,49,147805576.11999997,72938187.99,2598696.2796426285
2018-01-01,DFOOS,62,2727922934.4599996,3283296017.4000006,116979724.62042293
2018-01-01,DFOOS,72,1038245.3800000001,7016059.519999998,249973.41275978743
2018-01-01,DFOOS,88,2679555681.7400002,2192716625.25,78123746.87905534
2018-01-01,DFOOS,91,371096296.88,435013346.69,15498980.668304807
2018-01-01,DFOOS,95,52398192.75,212408345.5,7567843.298925583
2018-01-01,DFOOS,96,2888826908.2,505798912.22,18020981.705956448
2018-01-01,DFOOS,97,143848797.24,249433398.92000002,8886999.576694852
2018-01-01,DFOOS,101,887835698.4000001,921357522.1500001,32826814.47145662
2018-01-01,DFOOS,105,453218269.01,1325779501.46,47235863.03710915
2018-01-01,DFOOS,106,2917630393.4200006,5056276138.120001,180148785.58238554
2018-01-01,DFOOS,113,459857191.56999993,109342050.57000002,3895720.3058528453
2018-01-01,DFOOS,115,6625466734.569999,8992506260.369999,320391734.52856386
2018-01-01,DFOOS,123,108793285.22,291292899.15,10378401.138937045
2018-01-01,DFOOS,128,64182025.14,11663132.43,415542.7998701546
2018-01-01,DFOOS,129,46349760.10000001,85896510.89999999,3060385.0940294308
2018-01-01,DFOOS,133,123190933.07000001,88796667.83,3163714.052865152
2018-01-01,DFOOS,136,6214413342.9800005,6440291341.860001,229459513.74883083
2018-01-01,DFOOS,142,1947694593.22,274879191.99,9793601.311750721
2018-01-01,DFOOS,143,238265501.56,429121914.78000003,15289076.32864142
2018-01-01,DFOOS,146,97407216.85,222962263.94000006,7943866.1936736675
2018-01-01,DFOOS,153,615029378.99,736890765.43,26254494.982635077
2018-01-01,DFOOS,171,2660057597.9,3703201833.62,131940442.9009596
2018-01-01,DFOOS,205,140039111.29999998,103567491.89999998,3689980.013341541
2018-01-01,DFOOS,231,210101851.63000003,85752521.09,3055254.9174530027
2018-01-01,DFOOS,240,196307401.55999997,42801327.25000001,1524957.6792830557
2018-01-01,DFOOS,241,115824085.67999998,31614704.150000002,1126392.30999091
2018-01-01,DFOOS,242,795495136.53,1275552883.71,45446351.557829574
2018-01-01,DFOOS,251,311422862.19,680434442.49,24243026.91042858
2018-01-01,DFOOS,270,1746425474.97,2417590009.43,86135703.89311405
2018-01-01,DFOOS,272,8566053007.31,15041904250.49,535924207.7668319
2018-01-01,DFOOS,274,7922653783.23,8813045098.48,313997758.11379707
2018-01-01,DFOOS,286,218945893.51000002,178555485.57999998,6361708.302242798
2018-01-01,DFOOS,288,149157992.57999998,403213770.26,14366001.590538545
2018-01-01,DFOOS,290,149950625.75,224066961.71,7983225.191533912
2018-01-01,DFOOS,295,933677.05,20626653.17,734901.8166136352
2018-01-01,DFOOS,296,4814787863.480001,5238053727.580001,186625293.4100392
2018-01-01,DFOOS,297,6399703.250000001,1890.05,67.34011412529127
2018-01-01,DFOOS,298,2250859263.7599998,2556695128.45,91091845.04822583
2018-01-01,DFOOS,305,710257793.11,1946605993.2700002,69355133.32651399
2018-01-01,DFOOS,311,10996010.77,20888537.250000004,744232.4183621586
2018-01-01,DFOOS,313,3.47,0,0.0
2018-01-01,DFOOS,320,442749894.41,1126564648.35,40138087.34658217
2018-01-01,DFOOS,325,1323046221.6000004,185592104.14000002,6612414.207846641
2018-01-01,DFOOS,326,108185305.58999999,80963423.50999999,2884625.3692429783
2018-01-01,DFOOS,329,20678897.56,11883162.3,423382.18854070455
2018-01-01,DFOOS,331,17743403.21,202702702.14000002,7222043.3827742785
2018-01-01,DFOOS,377,70124972.27,148917343.97000003,5305738.439816437
2018-01-01,DFOOS,381,65993816.08999999,474733885.78999996,16914173.724632464
2018-01-01,DFOOS,386,716306513.7900001,274088000.84999996,9765412.162435878
2018-01-01,DFOOS,387,8532274.47,15535913.780000001,553525.1485335759
2018-01-01,DFOOS,389,573616402.34,1308198482.01,46609473.33514257
2018-01-01,DFOOS,392,89858568.16,72714146.08,2590713.947012143
2018-01-01,DFOOS,394,167974485.81,53071757.59,1890880.2481100466
2018-01-01,DFOOS,395,34723809.17999999,240896264.73000002,8582832.178659072
2018-01-01,DFOOS,407,0,0,0.0
2018-01-01,DFOOS,430,1467562.3800000001,26489664.49,943793.5662534195
2018-01-01,DFOOS,455,4636876.08,0,0.0
2018-01-01,DFOOS,512,962519.0900000001,3440.19,122.56966070351885
2018-01-01,DFOOS,553,474909.7,57623216.81999999,2053043.039562553
2018-01-01,DFOOS,634,219373.46999999997,403647.48,14381.454125333312
2018-01-01,DFOOS,694,108860155.59,89616274.78999999,3192915.6222544713
2018-01-01,DFOOS,774,141364121.34000003,9036411.640000002,321956.0282112698
2018-01-01,DSG,2,17693432202.7,39232610066.80999,1397808756.0286958
2018-01-01,DSG,5,6061875801.990002,2268365971.62,80819038.33592656
2018-01-01,DSG,6,29293534250.230003,17169450522.24,611726016.5795527
2018-01-01,DSG,29,238601985.65999994,118440333.81,4219880.741675084
2018-01-01,DSG,36,23551194255.989998,6707796160.54,238990375.37628856
2018-01-01,DSG,43,97105992.2,10424764.73,371421.30983175646
2018-01-01,DSG,46,27110549438.59999,13381066606.559998,476750642.7892778
2018-01-01,DSG,49,96594000.72,4560686.499999999,162491.54752502593
2018-01-01,DSG,62,3662994582.8199997,1769968242.9599998,63061751.52988952
2018-01-01,DSG,72,34537035.980000004,64418839.68,2295162.5702336137
2018-01-01,DSG,88,3966130612.4100003,1804014071.11,64274761.74290561
2018-01-01,DSG,91,493721228.75000006,66134813.28,2356300.560265617
2018-01-01,DSG,95,68727329.51,43763064.739999995,1559223.1814312376
2018-01-01,DSG,96,263780792.61,15975194.02,569176.1532660356
2018-01-01,DSG,97,468479324.57,61985220.56,2208455.769208091
2018-01-01,DSG,101,864541730.43,283617209.06999993,10104925.915542128
2018-01-01,DSG,105,1337480797.7499998,428468230.56999993,15265786.379008709
2018-01-01,DSG,106,6777606417.5199995,1569645024.5800002,55924486.17307099
2018-01-01,DSG,113,639237835.71,139414964.2,4967180.5507798195
2018-01-01,DSG,115,13289874500.6,7990644840.990002,284696667.03364265
2018-01-01,DSG,123,229755051.52,86024778.58,3064955.110806652
2018-01-01,DSG,128,89951914.61,5815823.99,207210.52417618944
2018-01-01,DSG,129,93372270.13000003,21041845.64,749694.6042720365
2018-01-01,DSG,133,359096742.40999997,13514855.07,481517.35816543025
2018-01-01,DSG,136,14894809010.58,7750518980.009999,276141283.37563
2018-01-01,DSG,142,685867778.03,53662068.400000006,1911912.2828788585
2018-01-01,DSG,143,296637037.13,137926413.38,4914145.349541706
2018-01-01,DSG,146,134001080.27,9780021.92,348449.9310815324
2018-01-01,DSG,153,1219026851.7299998,261793955.50000003,9327390.725473626
2018-01-01,DSG,171,12955953991.949997,5663782543.170001,201793477.864554
2018-01-01,DSG,205,227040955.73999995,9910003.889999999,353081.02586422605
2018-01-01,DSG,231,244427034.82999998,36122698.349999994,1287006.4968664693
2018-01-01,DSG,240,215813517.16,6745088.46,240319.05329572508
2018-01-01,DSG,241,308851507.1300001,27185765.5,968594.7733411316
2018-01-01,DSG,242,1260633056.5800002,1839554167.2,65541010.85098445
2018-01-01,DSG,251,595916377.02,186026236.76999998,6627881.809682418
2018-01-01,DSG,270,2475043152.22,1624396042.0100002,57875196.34592991
2018-01-01,DSG,272,10887246630.769999,6871236167.7300005,244813538.11632884
2018-01-01,DSG,274,23807031326.049995,20031138041.100002,713684358.4810654
2018-01-01,DSG,286,343428450.86000013,145215025.88,5173829.483593728
2018-01-01,DSG,288,1119593761.7499998,107507250.97,3830348.6942758816
2018-01-01,DSG,290,377906550.1,500505095.3600001,17832369.641984176
2018-01-01,DSG,295,4073717872.4600005,1048401488.7,37353231.871211484
2018-01-01,DSG,296,11318651510.02,3895033140.7299995,138775152.0957381
2018-01-01,DSG,297,11838190844.389997,4903716131.15,174713263.62248236
2018-01-01,DSG,298,5817898968.570001,1662893685.8200002,59246819.17480757
2018-01-01,DSG,305,2909628350.18,929920626.1200001,33131907.14022545
2018-01-01,DSG,311,26816649.889999997,3350509.07,119374.4414971157
2018-01-01,DSG,313,2543705.46,0,0.0
2018-01-01,DSG,320,769063099.2,1392759695.91,49622283.469583005
2018-01-01,DSG,325,27142693.779999997,6534241.880000001,232806.85374538126
2018-01-01,DSG,326,211388996.34999996,31985189.66,1139592.2446620387
2018-01-01,DSG,329,449506655.86999995,61972021.349999994,2207985.497888409
2018-01-01,DSG,331,577175281.84,97489885.36,3473442.5048035574
2018-01-01,DSG,377,480178968.09999996,23815027.21,848499.5900734463
2018-01-01,DSG,381,410005812.94,97991977.99999999,3491331.436672591
2018-01-01,DSG,386,858892972.32,107963601.83999999,3846607.9041734906
2018-01-01,DSG,387,125324873.23999998,13088923.33,466341.9437683593
2018-01-01,DSG,389,3090492212.9100003,3274914551.8300004,116681103.50033559
2018-01-01,DSG,392,238914741.10999998,28652253.21,1020843.8936050069
2018-01-01,DSG,394,58719946.36999999,21487003.730000004,765555.0294377182
2018-01-01,DSG,395,31515370.830000002,13676030.61,487259.8407758402
2018-01-01,DSG,407,1300503994.4700003,402700007.64000005,14347696.8718993
2018-01-01,DSG,430,52504375.050000004,12312.92,438.69391710038434
2018-01-01,DSG,455,774440180.0000001,554190738.7800001,19745121.87329683
2018-01-01,DSG,512,1550902.5400000003,107.22,3.820114302009857
2018-01-01,DSG,553,668778447.94,125493005.2,4471158.589504919
2018-01-01,DSG,634,16784814.68,6760763.1,240877.52108571626
2018-01-01,DSG,694,591507353.53,92329582.60000001,3289587.3809817242
2018-01-01,DSG,774,114790585.97,676358.36,24097.801196791006
2018-01-01,LFONET,2,142543613.8,66894126.82999992,2383353.9509769157
2018-01-01,LFONET,5,2423967210.5299997,4767726400.119999,169868119.8392873
2018-01-01,LFONET,6,3791995114.51,52959622.15999983,1886885.003193933
2018-01-01,LFONET,29,2808664.72,0,0.0
2018-01-01,LFONET,36,3699852006.51,277339030.69000065,9881242.283570427
2018-01-01,LFONET,43,211462.03,0,0.0
2018-01-01,LFONET,46,29464472899.700005,1398420434.5500016,49823968.4969903
