NKB,Full_UA,Group_UA,Group_EN,Short_or,Short_UA,Short_EN
2,"АТ ""Укрексімбанк""",Державні,(SO),Укрексімбанк,Укрексім,Ukrexim
6,"АТ ""Ощадбанк""",Державні,(SO),Ощадбанк,Ощад,Oschad
29,"ПАТ ""БАНК АЛЬЯНС""",Приватні,,Альянс,Альянс,Alliance
36,"АТ ""Райффайзен Банк Аваль""",Іноземні,(FO),Райффайзенбанк,Райф,Raif
43,"АТ ""АЛЬТБАНК""",Приватні,,Альтбанк,Альт,Alt
46,"ПАТ КБ ""ПРИВАТБАНК""",Державні,(SO),Приват,Приват,Privat
49,Полікомбанк,Приватні,,Полікомбанк,Поліком,Policom
62,"АТ ""ТАСКОМБАНК""",Приватні,,Таскомбанк,Таском,Tascom
72,"ПАТ ""БАНК ФАМІЛЬНИЙ""",Приватні,,Фамільний,Фамільний,Family
88,"ПАТ ""КРЕДОБАНК""",Іноземні,(FO),Кредобанк,Кредо,Credo
91,"ПАТ АКБ ""Львів""",Приватні,,Львів,Львів,Lviv
95,"ПАТ ""ОКСІ БАНК""",Приватні,,Оксі,Оксі,Oksi
96,"ПАТ ""А - БАНК""",Приватні,,А - Банк,А,A-Bank
101,"АКБ ""ІНДУСТРІАЛБАНК""",Приватні,,Індустріал,Індустріал,Industrial
105,МТБ банк,Приватні,,МТБ,МТБ,MTB
106,"Акціонерний банк ""Південний""",Приватні,,Південний,Південний,Pivdenny
113,"ПАТ ""Полтава-банк""",Приватні,,Полтава-банк,Полтава,Poltava
115,"ПАТ ""ПУМБ""",Приватні,,ПУМБ,ПУМБ,FUIB
123,"ПАТ ""БАНК ""ГРАНТ""",Приватні,,Грант,Грант,Grant
128,Скай банк,Приватні,,Скай,Скай,Sky
129,"ПАТ ""БТА БАНК""",Приватні,,БТА,БТА,BTA
133,"ПАТ ""АСВІО БАНК""",Приватні,,АСВІО,АСВІО,ASVIO
136,"АТ ""УкрСиббанк""",Іноземні,(FO),УкрСибБанк,УкрСиб,Ukrsib
142,"ПАТ ""Ідея Банк""",Приватні,,Ідея Банк ,Ідея,Idea
143,"ПАТ ""КОМІНВЕСТБАНК""",Приватні,,Комінвест,Комінвест,Cominvest
146,"ПАТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""",Приватні,,Український капітал,Укркапітал,Ukrcapital
153,"ПАТКБ ""ПРАВЕКС-БАНК""",Іноземні,(FO),Правекс,Правекс,Pravex
171,"ПАТ ""КРЕДІ АГРІКОЛЬ БАНК""",Іноземні,(FO),Креді Агріколь,К-Агріколь,Credit Agr
205,"АТ ""МетаБанк""",Приватні,,МетаБанк,Мета,Meta
231,"ПАТ ""ЮНЕКС БАНК""",Приватні,,Юнекс,Юнекс,Unex
240,"АТ ""КІБ""",Приватні,,КІБ,КІБ,KIB
241,"ПАТ ""Айбокс Банк""",Приватні,,Айбокс,Айбокс,IBOX
242,"ПАТ ""УНІВЕРСАЛ БАНК""",Приватні,,Універсал Банк,Універсал,Universal
251,"АТ ""ПІРЕУС БАНК МКБ""",Іноземні,(FO),Піреус,Піреус,Piraeus
270,"ПАТ ""БАНК КРЕДИТ ДНІПРО""",Приватні,,Кредит Дніпро,К-Дніпро,C-Dnipro
272,"ПАТ ""АЛЬФА-БАНК""",Іноземні,(FO),Альфабанк,Альфа,Alfa
